spn\alliance\alderaan\broonmark\motorcade_speeder.spn_p,art\static\area\hth_hoth\vehicle\hth_veh_neu_speeder_02.gr2
spn\alliance\zakuul\nico\little_umbrella_not_selected.spn_p,dyn\alliance\zakuul\nico\little_umbrella.dyn
spn\alliance\zakuul\nico\little_umbrella_prepared.spn_p,dyn\alliance\zakuul\nico\little_umbrella.dyn
spn\alliance\zakuul\nico\little_umbrella_selected.spn_p,dyn\alliance\zakuul\nico\little_umbrella.dyn
spn\alliance\zakuul\nico\mixer.spn_p,dyn\alliance\zakuul\nico\mixer.dyn
spn\alliance\zakuul\yuun\component_1.spn_p,dyn\alliance\zakuul\yuun\component_1.dyn
spn\alliance\zakuul\yuun\component_2.spn_p,dyn\alliance\zakuul\yuun\component_2.dyn
spn\alliance\zakuul\yuun\component_3.spn_p,dyn\alliance\zakuul\yuun\component_3.dyn
spn\alliance\zakuul\yuun\component_4.spn_p,dyn\alliance\zakuul\yuun\component_4.dyn
spn\codex\bestiary\acklay.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\akk_dog.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\asharl_panther.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\bantha.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\baspoor_glider.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\bogstalker.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\bogwing.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\bolraida.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\bormu.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\chemlizard.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\colicoid.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\cthon.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\dewback.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\dragonbat.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\drate.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\duneclaw.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\ferrazid_hound.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\grazer.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\bestiary\guid.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\gundark.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\harvap.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\harvorisk.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\horranth.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\hssiss.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\icetromper.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\iraida.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\jorgoran.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\kath_hound.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\kell_dragon.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\kintan.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\klorslug.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\krayt_dragon.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\lisk.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\lobel.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\lurker.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\lyleck.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\manka.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\mantellian_flutterplume.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\bestiary\mawvorr.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\narvaxx.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\nekghoul.spn_p,art\static\area\all_all\item\bones\all_item_bone_human_skull_01.gr2
spn\codex\bestiary\nerf.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\nexu.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\orobird.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\pantran_whitefang.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\rakghoul.spn_p,art\static\area\all_all\item\bones\all_item_bone_human_pile_00.gr2
spn\codex\bestiary\rancor.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\razoronn.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\bestiary\reek.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\rill.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\salky_hound.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\sandtusker.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\savrip.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\bestiary\shaclaw.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\shyrack.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\skel.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\skyslasher.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\sleen.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\tauntaun.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\terentatek.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\thranta.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\trinthan_prowler.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\tukata.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\tython_war_droid.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\uxibeast.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\veractyl.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\vine_cat.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\vorntiger.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\vrbither.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\vulagool.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\wampa.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\wingmaw.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\womprat.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\wraid.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\bestiary\xuvva_soarer.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\yozusk.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\bestiary\zeldrate.spn_p,art\static\area\all_all\item\creature\dog_tukata_dead.gr2
spn\codex\game_rules\strongholds\strongholds_intro.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\alderaan\battle_of_alderaan.spn_p,art\static\area\all_all\item\corpse\corpse_battledroid_imp_a02.gr2
spn\codex\lore\alderaan\history_of_alderaan.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\alderaan\joiners_and_killik_hive_mind.spn_p,art\static\area\ald_alderaan\env\ald_env_killik_egg_highrez.gr2
spn\codex\lore\alderaan\noble_houses.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\alderaan\the_war_for_alderaans_throne.spn_p,art\static\area\all_all\item\republic\all_item_rep_ammo_box.gr2
spn\codex\lore\balmorra_imp\balmorran_corporations.spn_p,art\static\area\all_all\item\tech\all_item_tech_library_panel_works.gr2
spn\codex\lore\balmorra_imp\balmorran_pollution.spn_p,art\static\area\tyt_tython\arch\tyt_arch_fleshraider_junk_03.gr2
spn\codex\lore\balmorra_imp\gran.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\balmorra_imp\imperial_military_on_balmorra.spn_p,art\static\area\all_all\item\republic\all_item_rep_ammo_box.gr2
spn\codex\lore\balmorra_imp\imperial_subjugation.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\balmorra_imp\invasion_of_balmorra.spn_p,art\static\area\all_all\item\republic\all_item_rep_wall_computer_01.gr2
spn\codex\lore\balmorra_rep\balmorran_corporations.spn_p,art\static\area\all_all\item\tech\all_item_tech_library_panel_works.gr2
spn\codex\lore\balmorra_rep\balmorran_pollution.spn_p,art\static\area\tyt_tython\arch\tyt_arch_fleshraider_junk_03.gr2
spn\codex\lore\balmorra_rep\imperial_subjugation.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\balmorra_rep\invasion_of_balmorra.spn_p,art\static\area\all_all\item\republic\all_item_rep_wall_computer_01.gr2
spn\codex\lore\balmorra_rep\republic_relations_with_balmorra.spn_p,art\static\area\all_all\item\republic\all_item_rep_ammo_box.gr2
spn\codex\lore\belsavis\belsavis_automated_security.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\lore\belsavis\belsavis_prison_break.spn_p,art\static\area\all_all\item\republic\all_item_rep_crate.gr2
spn\codex\lore\belsavis\belsavis_prison_personnel.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\belsavis\belsavis_vaults.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\belsavis\esh_kha_culture.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\belsavis\history_of_belsavis_prison.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\belsavis\mind_trap.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\belsavis\primeval_beasts.spn_p,art\static\area\all_all\item\bones\all_item_bone_pile_large.gr2
spn\codex\lore\belsavis\rakata_technology.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\belsavis\the_domination_experiments.spn_p,art\static\area\all_all\item\republic\all_item_rep_ammo_box.gr2
spn\codex\lore\corellia\a_culture_of_freedom.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\corellia\corellian_government.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\corellia\coronet_city.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\corellia\history_of_corellia.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\corellia\invasion_of_corellia.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\corellia\starship_manufacturing.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\corellia\the_legislature.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\corellia\the_rocket_tram_system.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\coruscant\history_of_coruscant.spn_p,art\static\area\all_all\item\tech\all_item_tech_holocron_jedi_01.gr2
spn\codex\lore\coruscant\reconstruction_of_coruscant.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\coruscant\republic_government.spn_p,art\static\area\all_all\item\tech\all_item_tech_holocron_jedi_01.gr2
spn\codex\lore\dantooine\blba_tree.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\dromund_kaas\obliteration_of_kressh.spn_p,art\static\area\all_all\arch\sith\all_arch_sithtomb_statue_01.gr2
spn\codex\lore\dromund_kaas\statue_center.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\dromund_kaas\statue_west.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\flashpoint\spirit_of_vengeance\darmanda_recruitment.spn_p,dyn\codex\organizations\exp\03\the_ash_ad_datapad.dyn
spn\codex\lore\flashpoint\spirit_of_vengeance\mandalorian_relics.spn_p,dyn\codex\lore\flashpoint\spirit_of_vengeance\museum_display.dyn
spn\codex\lore\flashpoint\spirit_of_vengeance\mando_child_trophy.spn_p,dyn\codex\lore\flashpoint\spirit_of_vengeance\mando_child_trophy.dyn
spn\codex\lore\flashpoint\spirit_of_vengeance\mando_raiding_map.spn_p,dyn\codex\lore\flashpoint\spirit_of_vengeance\museum_display.dyn
spn\codex\lore\hoth\battle_of_hoth.spn_p,art\static\area\hth_hoth\arch\hth_arch_rep_house_internal_computer.gr2
spn\codex\lore\hoth\caught_between_two_foes.spn_p,art\static\area\all_all\item\corpse\corpse_talz_a01.gr2
spn\codex\lore\hoth\hoth_no_place_for_vehicles.spn_p,art\static\area\tyt_tython\arch\tyt_arch_fleshraider_junk_03.gr2
spn\codex\lore\hoth\keeping_warm.spn_p,art\static\area\hth_hoth\item\hth_item_con_crate_stackable.gr2
spn\codex\lore\hoth\salvaging_starships.spn_p,art\static\area\hth_hoth\arch\hth_arch_rep_house_computer_panel_04.gr2
spn\codex\lore\hutta\carbonite_freezing.spn_p,art\static\area\all_all\item\tech\all_item_tech_carbonite_prison01.gr2
spn\codex\lore\hutta\renegade_evocii.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\codex\lore\hutta\varl.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\codex\lore\ilum\ilum_crystals.spn_p,art\static\area\ilm_ilum\env\ilm_env_forcecrystals_deposit02_green.gr2
spn\codex\lore\ilum\pilgrimages_to_ilum.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\ilum\stealth_technology_and_warfare.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\ilum\the_battle_for_ilum.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\ilum\the_republics_alien_allies.spn_p,art\static\area\all_all\item\republic\all_item_rep_ammo_box.gr2
spn\codex\lore\korriban\admission_to_the_sith_academy.spn_p,art\static\area\all_all\item\tech\all_item_tech_holocron_sith_03.gr2
spn\codex\lore\korriban\legacy_tulak_hord.spn_p,art\static\item\container\item_con_crate_ancient_02.gr2
spn\codex\lore\korriban\sith_titles.spn_p,art\static\area\all_all\item\tech\all_item_tech_holocron_sith_02.gr2
spn\codex\lore\korriban\slavery_in_the_empire.spn_p,art\static\area\all_all\item\tech\all_item_tech_holocron_sith_01.gr2
spn\codex\lore\kotfe\eternal_fleet_combat.spn_p,art\static\area\all_all\item\tech\all_item_tech_controlpanel_wall08.gr2
spn\codex\lore\makeb\atmosphere_of_makeb.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\makeb\gravity_hooks.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\makeb\history_of_makeb.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\makeb\hutt_conquest_of_makeb.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\codex\lore\makeb\mining_on_makeb.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\nar_shaddaa\data_slicing.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\codex\lore\nar_shaddaa\slave_trading_on_nar_shaddaa.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\codex\lore\nar_shaddaa\the_spice_business.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\codex\lore\ord_mantell\refugees_of_war.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\ossus\the_exile_1.spn_p,dyn\codex\lore\ossus\the_exile_history.dyn
spn\codex\lore\ossus\the_exile_2.spn_p,dyn\codex\lore\ossus\the_exile_history.dyn
spn\codex\lore\ossus\the_exile_3.spn_p,dyn\codex\lore\ossus\the_exile_history.dyn
spn\codex\lore\ossus\the_exile_4.spn_p,dyn\codex\lore\ossus\the_exile_history.dyn
spn\codex\lore\other\cosmetic_kiosk.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\quesh\discovering_quesh_venom.spn_p,art\static\area\que_quesh\env\que_env_path_panel.gr2
spn\codex\lore\quesh\hutt_neutrality.spn_p,art\static\area\all_all\item\underworld\all_item_und_banner_01.gr2
spn\codex\lore\quesh\the_quake.spn_p,art\static\area\que_quesh\env\que_env_boulders2.gr2
spn\codex\lore\quesh\three_families.spn_p,art\static\area\all_all\item\underworld\all_item_und_hutt_sculpture_gong.gr2
spn\codex\lore\rishi\exonium.spn_p,art\static\harvesting\geo_extraction_ore_netrinium.gr2
spn\codex\lore\rishi\rishi_maze.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\rishi\the_settlement_of_rishi.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\codex\lore\rishi\way_of_the_rishii.spn_p,dyn\codex\lore\rishi\way_of_the_rishii.dyn
spn\codex\lore\taris_imp\environment_of_taris.spn_p,art\static\area\tar_taris\item\tar_item_small_boulder_02.gr2
spn\codex\lore\taris_imp\jedi_civil_war.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\taris_imp\malaks_attack.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\taris_imp\rakghoul_disease.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\codex\lore\taris_imp\republic_reconstruction.spn_p,art\static\area\all_all\item\republic\all_item_rep_crate.gr2
spn\codex\lore\taris_imp\tarisian_settlers.spn_p,art\static\area\all_all\item\republic\all_item_rep_wardrobe.gr2
spn\codex\lore\taris_imp\taris_pre_bombardment.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\codex\lore\taris_rep\environment_of_taris.spn_p,art\static\area\tar_taris\item\tar_item_small_boulder_02.gr2
spn\codex\lore\taris_rep\jedi_civil_war.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\taris_rep\malaks_attack.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\taris_rep\pirates_and_scavengers.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\codex\lore\taris_rep\rakghoul_disease.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\codex\lore\taris_rep\republic_reconstruction.spn_p,art\static\area\all_all\item\republic\all_item_rep_crate.gr2
spn\codex\lore\taris_rep\taris_and_non_humans.spn_p,art\static\area\all_all\item\all_item_lore_terminal.gr2
spn\codex\lore\taris_rep\taris_pre_bombardment.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\codex\lore\taris_rep\the_promised_ones.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\codex\lore\tatooine\history_of_tatooine_imp.spn_p,dyn\codex\lore\tatooine\history_of_tatooine_imp.dyn
